epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9964,1.76325,1.63423,1.67851,0.66403,0.60646,0.67161,0.36476,1.54453,1.59069,1.47721,0.000329825,0.000329825,0.0673474
2,35.0755,1.65825,1.44748,1.6161,0.65636,0.61959,0.66442,0.30468,1.79884,1.42428,1.60355,0.000656593,0.000656593,0.0343408
3,50.9644,1.63665,1.40088,1.61336,0.70068,0.64258,0.71245,0.372,1.60508,1.23278,1.51791,0.000976761,0.000976761,0.00132764
4,67.0382,1.60511,1.36534,1.59224,0.69709,0.66256,0.7218,0.42679,1.38874,1.25686,1.44002,0.0009703,0.0009703,0.0009703
5,83.3849,1.60028,1.34589,1.59206,0.67719,0.66598,0.71783,0.37368,1.62192,1.27819,1.53559,0.0009604,0.0009604,0.0009604
6,99.6106,1.57173,1.31743,1.57844,0.70099,0.68309,0.73823,0.41411,1.50448,1.16779,1.44665,0.0009505,0.0009505,0.0009505
7,115.881,1.56242,1.31196,1.57221,0.68995,0.67233,0.72796,0.39741,1.52889,1.20837,1.49469,0.0009406,0.0009406,0.0009406
8,132.371,1.55545,1.28406,1.55304,0.74861,0.67968,0.77227,0.47518,1.34758,1.06434,1.35772,0.0009307,0.0009307,0.0009307
9,148.94,1.52353,1.24076,1.53549,0.70826,0.69869,0.76383,0.44479,1.38251,1.10525,1.39233,0.0009208,0.0009208,0.0009208
10,165.459,1.54261,1.28069,1.56093,0.71737,0.69376,0.75611,0.44345,1.43286,1.17921,1.40969,0.0009109,0.0009109,0.0009109
11,182.169,1.5416,1.25198,1.55698,0.74817,0.68637,0.78185,0.46862,1.343,1.05622,1.35131,0.000901,0.000901,0.000901
12,198.947,1.51753,1.25442,1.54311,0.72393,0.6796,0.75265,0.44204,1.33769,1.09784,1.36366,0.0008911,0.0008911,0.0008911
13,215.685,1.52981,1.2431,1.54921,0.74204,0.7017,0.77402,0.47796,1.31634,1.06393,1.36466,0.0008812,0.0008812,0.0008812
14,232.437,1.49861,1.2185,1.5199,0.7264,0.72149,0.78043,0.47899,1.31007,1.05314,1.33837,0.0008713,0.0008713,0.0008713
15,249.135,1.49469,1.21612,1.52968,0.71827,0.7061,0.76981,0.43174,1.48735,1.09357,1.41985,0.0008614,0.0008614,0.0008614
16,265.632,1.47615,1.20211,1.51524,0.73048,0.71949,0.78406,0.49108,1.27475,1.01517,1.329,0.0008515,0.0008515,0.0008515
17,282.356,1.48358,1.18917,1.52177,0.73358,0.70772,0.78901,0.52606,1.1449,1.05846,1.29407,0.0008416,0.0008416,0.0008416
18,299.15,1.48527,1.19655,1.51805,0.73675,0.70849,0.77353,0.43512,1.48056,1.07069,1.4171,0.0008317,0.0008317,0.0008317
19,315.784,1.49355,1.2074,1.52078,0.72336,0.70416,0.76826,0.47661,1.26584,1.00899,1.33673,0.0008218,0.0008218,0.0008218
20,332.352,1.48503,1.19344,1.51984,0.74609,0.72292,0.79438,0.48457,1.34559,1.00772,1.34584,0.0008119,0.0008119,0.0008119
21,348.934,1.46107,1.18854,1.50251,0.73266,0.6965,0.77555,0.48276,1.28848,1.02384,1.32538,0.000802,0.000802,0.000802
22,365.593,1.47543,1.17394,1.50174,0.74182,0.75068,0.80559,0.50125,1.29936,0.98497,1.32216,0.0007921,0.0007921,0.0007921
23,382.142,1.43566,1.13728,1.47967,0.74377,0.72551,0.79805,0.52983,1.14864,0.94552,1.27467,0.0007822,0.0007822,0.0007822
24,398.828,1.43018,1.14119,1.48375,0.74036,0.72966,0.79792,0.51924,1.17339,0.99407,1.27903,0.0007723,0.0007723,0.0007723
25,415.322,1.42165,1.13472,1.48438,0.7542,0.70033,0.78126,0.50295,1.18888,0.97125,1.28577,0.0007624,0.0007624,0.0007624
26,431.852,1.4636,1.16858,1.50652,0.75563,0.72606,0.80256,0.50053,1.26054,0.95482,1.2999,0.0007525,0.0007525,0.0007525
27,448.415,1.42898,1.14307,1.48787,0.74949,0.71976,0.79359,0.51561,1.17312,0.95784,1.2708,0.0007426,0.0007426,0.0007426
28,465.014,1.43563,1.12398,1.48038,0.76721,0.71613,0.80745,0.5263,1.1939,0.93832,1.26579,0.0007327,0.0007327,0.0007327
29,481.551,1.44225,1.13898,1.48641,0.7598,0.71074,0.79679,0.51563,1.18584,0.94537,1.27051,0.0007228,0.0007228,0.0007228
30,498.15,1.41489,1.10888,1.46765,0.76668,0.71292,0.80714,0.52513,1.18218,0.94119,1.27503,0.0007129,0.0007129,0.0007129
31,514.713,1.41844,1.12539,1.4693,0.74949,0.72879,0.80549,0.53462,1.15628,0.92942,1.26278,0.000703,0.000703,0.000703
32,531.447,1.41238,1.10761,1.46552,0.7534,0.72797,0.80574,0.50647,1.27409,0.96845,1.31974,0.0006931,0.0006931,0.0006931
33,548.087,1.41742,1.10939,1.47496,0.75162,0.73426,0.80855,0.49808,1.31236,0.94723,1.30937,0.0006832,0.0006832,0.0006832
34,564.582,1.41337,1.10406,1.4646,0.77893,0.711,0.81133,0.52975,1.1919,0.92077,1.28739,0.0006733,0.0006733,0.0006733
35,581.166,1.399,1.10843,1.46271,0.77556,0.72742,0.8136,0.54256,1.12498,0.93574,1.2516,0.0006634,0.0006634,0.0006634
36,597.723,1.40207,1.09267,1.45606,0.75426,0.74412,0.8101,0.5484,1.10662,0.91447,1.25112,0.0006535,0.0006535,0.0006535
37,614.539,1.41693,1.09421,1.46205,0.77049,0.73508,0.8153,0.54702,1.11815,0.89846,1.24137,0.0006436,0.0006436,0.0006436
38,631.218,1.40124,1.1123,1.47596,0.75086,0.74631,0.81326,0.54359,1.10206,0.9111,1.25183,0.0006337,0.0006337,0.0006337
39,647.888,1.39398,1.0984,1.4574,0.75178,0.73317,0.806,0.51591,1.2326,0.92619,1.28711,0.0006238,0.0006238,0.0006238
40,664.592,1.40529,1.07846,1.46574,0.77239,0.72414,0.81556,0.55578,1.10026,0.90164,1.23748,0.0006139,0.0006139,0.0006139
41,681.256,1.39216,1.08275,1.46411,0.76238,0.73892,0.81727,0.53631,1.15971,0.8866,1.26273,0.000604,0.000604,0.000604
42,697.824,1.36735,1.06638,1.44364,0.76494,0.72687,0.81268,0.53292,1.17662,0.91832,1.25505,0.0005941,0.0005941,0.0005941
43,714.487,1.37918,1.06053,1.43185,0.75263,0.74986,0.81521,0.52016,1.25338,0.96136,1.2983,0.0005842,0.0005842,0.0005842
44,731.01,1.35574,1.04597,1.42424,0.78513,0.73098,0.82355,0.53374,1.22963,0.88766,1.28525,0.0005743,0.0005743,0.0005743
45,747.543,1.37245,1.06965,1.44417,0.78515,0.72441,0.81848,0.55741,1.08962,0.8649,1.2337,0.0005644,0.0005644,0.0005644
